#position,date,temperatur(degree celsius),datafoldername
0580608256,2015-04-07 11:54:26,25.87,0
0580608288,2015-04-07 11:54:36,25.87,1
0580608320,2015-04-07 11:54:46,25.87,2
0580608352,2015-04-07 11:54:56,25.94,3
0580608384,2015-04-07 11:55:06,25.94,4
0580608416,2015-04-07 11:55:16,25.94,5
0580608448,2015-04-07 11:55:26,25.87,6
0580608480,2015-04-07 11:55:36,25.87,7
0580608512,2015-04-07 11:55:46,25.87,8
0580608544,2015-04-07 11:55:57,25.87,9
0580608576,2015-04-07 11:56:07,25.87,10
0580608609,2015-04-07 11:56:17,25.87,11
0580608641,2015-04-07 11:56:27,25.94,12
0580608673,2015-04-07 11:56:37,25.94,13
0580608705,2015-04-07 11:56:47,25.94,14
0580608737,2015-04-07 11:56:57,25.87,15
0580608769,2015-04-07 11:57:07,25.87,16
0580608801,2015-04-07 11:57:17,25.94,17
0580608833,2015-04-07 11:57:27,25.87,18
0580608865,2015-04-07 11:57:38,25.94,19
0580608897,2015-04-07 11:57:48,25.87,20
0580608929,2015-04-07 11:57:58,25.94,21
0580608961,2015-04-07 11:58:08,25.87,22
0580608993,2015-04-07 11:58:18,25.87,23
0583809154,2015-04-07 11:58:28,25.94,24
0583809122,2015-04-07 11:58:38,25.94,25
0583809089,2015-04-07 11:58:48,25.87,26
0583809057,2015-04-07 11:58:58,25.94,27
0583809025,2015-04-07 11:59:08,25.94,28
0583808993,2015-04-07 11:59:19,25.87,29
0583808961,2015-04-07 11:59:29,25.94,30
0583808929,2015-04-07 11:59:39,25.87,31
0583808897,2015-04-07 11:59:49,25.87,32
0583808865,2015-04-07 11:59:59,25.87,33
0583808833,2015-04-07 12:00:09,25.94,34
0583808801,2015-04-07 12:00:19,25.87,35
0583808769,2015-04-07 12:00:29,25.87,36
0583808737,2015-04-07 12:00:39,25.94,37
0583808705,2015-04-07 12:00:49,25.87,38
0583808673,2015-04-07 12:00:59,25.87,39
0583808641,2015-04-07 12:01:10,25.94,40
0583808609,2015-04-07 12:01:20,25.87,41
0583808576,2015-04-07 12:01:30,25.87,42
0583808544,2015-04-07 12:01:40,25.87,43
0583808512,2015-04-07 12:01:50,25.87,44
0583808480,2015-04-07 12:02:00,25.87,45
0583808448,2015-04-07 12:02:10,25.87,46
0583808416,2015-04-07 12:02:20,25.87,47
0583808384,2015-04-07 12:02:30,25.94,48
0583808352,2015-04-07 12:02:40,25.87,49
0583808320,2015-04-07 12:02:50,25.87,50
0583808288,2015-04-07 12:03:01,25.94,51
0583808256,2015-04-07 12:03:11,25.87,52
0583808224,2015-04-07 12:03:21,25.94,53
0583808192,2015-04-07 12:03:31,25.87,54
0583808160,2015-04-07 12:03:41,25.94,55
0583808128,2015-04-07 12:03:51,25.94,56
0583808096,2015-04-07 12:04:01,25.87,57
0587007967,2015-04-07 12:04:11,25.87,58
0587007999,2015-04-07 12:04:21,25.87,59
0587008031,2015-04-07 12:04:31,25.94,60
0587008063,2015-04-07 12:04:41,25.87,61
0587008096,2015-04-07 12:04:52,25.87,62
0587008128,2015-04-07 12:05:02,25.94,63
0587008160,2015-04-07 12:05:12,25.94,64
0587008192,2015-04-07 12:05:22,25.94,65
0587008224,2015-04-07 12:05:32,25.94,66
0587008256,2015-04-07 12:05:42,25.87,67
0587008288,2015-04-07 12:05:52,25.87,68
0587008320,2015-04-07 12:06:02,25.87,69
0587008352,2015-04-07 12:06:12,25.87,70
0587008384,2015-04-07 12:06:22,25.87,71
0587008416,2015-04-07 12:06:33,25.87,72
0587008448,2015-04-07 12:06:43,25.94,73
0587008480,2015-04-07 12:06:53,25.87,74
0587008512,2015-04-07 12:07:03,25.87,75
0587008544,2015-04-07 12:07:13,25.87,76
0587008576,2015-04-07 12:07:23,25.87,77
0587008609,2015-04-07 12:07:33,25.87,78
0587008641,2015-04-07 12:07:43,25.94,79
0587008673,2015-04-07 12:07:53,25.87,80
0587008705,2015-04-07 12:08:03,25.94,81
0587008737,2015-04-07 12:08:13,25.87,82
0587008769,2015-04-07 12:08:24,25.94,83
0587008801,2015-04-07 12:08:34,25.94,84
0587008833,2015-04-07 12:08:44,25.94,85
0587008865,2015-04-07 12:08:54,25.87,86
0587008897,2015-04-07 12:09:04,25.87,87
0587008929,2015-04-07 12:09:14,25.87,88
0587008961,2015-04-07 12:09:24,25.87,89
0587008993,2015-04-07 12:09:34,25.94,90
0587009025,2015-04-07 12:09:44,25.87,91
0587009057,2015-04-07 12:09:54,25.87,92
0587009089,2015-04-07 12:10:05,25.87,93
0587009122,2015-04-07 12:10:15,25.87,94
0587009154,2015-04-07 12:10:25,25.87,95
0587009186,2015-04-07 12:10:35,25.87,96
0587009218,2015-04-07 12:10:45,25.94,97
0587009250,2015-04-07 12:10:55,25.87,98
0587009282,2015-04-07 12:11:05,25.87,99
0590309410,2015-04-07 12:11:15,25.87,100
0590309378,2015-04-07 12:11:25,25.87,101
0590309346,2015-04-07 12:11:35,25.87,102
0590309314,2015-04-07 12:11:45,25.94,103
0590309282,2015-04-07 12:11:56,25.87,104
0590309250,2015-04-07 12:12:06,25.87,105
0590309218,2015-04-07 12:12:16,25.87,106
0590309186,2015-04-07 12:12:26,25.87,107
0590309154,2015-04-07 12:12:36,25.94,108
0590309122,2015-04-07 12:12:46,25.87,109
0590309089,2015-04-07 12:12:56,25.94,110
0590309057,2015-04-07 12:13:06,25.87,111
0590309025,2015-04-07 12:13:16,25.87,112
0590308993,2015-04-07 12:13:26,25.94,113
0590308961,2015-04-07 12:13:36,25.94,114
0590308929,2015-04-07 12:13:46,25.87,115
0590308897,2015-04-07 12:13:57,25.94,116
0590308865,2015-04-07 12:14:07,25.87,117
